Original Repo Name,Stars,Family Count (All Forks),Family Count (Stars >= 10),Family Repo Names (Stars >= 10),Commit Count where from_repo contains original repo,Commit Count total commits (all chunks for repo),Forks with Unique Commits Count,PR Coverage Ratio,PR Merge Rate
bitcoin/bitcoin,87153,31685,101,litecoin-project/litecoin;dashpay/dash;OmniLayer/omnicore;Groestlcoin/groestlcoin;bitcoinknots/bitcoin;bitcoinclassic/bitcoinclassic;btc1/bitcoin;primecoin/primecoin;vinced/namecoin;jlopp/statoshi;syscoin/syscoin;bitcoinfibre/bitcoinfibre;BITBAT-BTB/Bitbat-BTB;gavinandresen/bitcoin-git;particl/particl-core;superbitcoin/SuperBitcoin;calistus-igwilo/bitcoin;sipa/bitcoin;jadijadi/bitcoin;UASF/bitcoin;faircoin/faircoin;bitshares/bitshares-pts;CoinBlack/blackcoin;petertodd/bitcoin;bitpay/bitcoin;drivechain-project/sidechains-old;bitcoin-inquisition/bitcoin;btchd/btchd;laanwj/bitcoin;bitzeny/bitzeny;UnitedBitcoin/UnitedBitcoin;cassianobrexbit/bitcoin-dio;achow101/bitcoin;zetacoin/zetacoin;HOdlcoin/HOdlcoin;BITC2/bitcoin2;42-coin/42;jgarzik/bitcoin;luke-jr/bitcoin;btcdrak/bitcoin;truthcoin/truthcoin-cpp;Crowndev/crown-core;freicoin/freicoin-old;maflcko/bitcoin-core;VirtualDestructor/bitcoin-qt-i2p;hebasto/bitcoin;mononaut/bitcoin;chaincoin/chaincoin;halfinney/bitcoin;MazaCoin/maza;megacoin/megacoin;MicroBitcoinOrg/MicroBitcoin;ShumCr/bitcoin;TheBlueMatt/bitcoin;kobake/bitcoin-msvc;super-quantum/qubitcoin;riecoin/riecoin;VeriumReserve/verium;ncry-arch/bitcoin;glozow/bitcoin;ryanofsky/bitcoin;BitcoinActivation/bitcoin;ixcoin/ixcoin;mikehearn/bitcoin;yizhuoyan/bitcoin;TripleSpeeder/bitcoin;kallewoof/bitcoin;globaltoken/globaltoken;fanquake/bitcoin;duzy/core;Sjors/bitcoin;bitcoinec/bitcoinec;23Konradbase/bitcoin;Cobra-Bitcoin/bitcoin;dkondor/bitcoin;fxtc/fxtc;blixor7/bitcoin;AmigoBtc/bitcoin;jonasschnelli/bitcoin;bitflate/bitflate;udibr/bitcoin;RiecoinTeam/Riecoin;bitcoinmodernvision/bitcoin;lzsaver/bitcoin-translation;JeremyRubin/bitcoin;dexX7/bitcoin;yamacoinproject/yamacoin;bitcoin-green/bitcoingreen;maaku/bitcoin;dalindev/bitcoin;iv4rbone/bitcoin;Operation04785/bitcoin1;adameth2900/bitcoin;AbSomeone/bitcoin;dgarage/bc2;trezor-graveyard/bitcoin;xpc-wg/xpchain;Swallow094/bitcoin;susucoin-project/susucoin;Jezebel5134567/bitcoin;dgarage/bc2,51566,253317,88,0.504950495,0.6747116162
bjornbytes/lovr,2443,164,1,mcclure/lovr,6347,8050,1,1,0.8114035088
bkaradzic/bgfx,16404,1988,6,cloudwu/bgfx;jdah/bgfx;hugoam/bgfx;dariomanesku/bgfx;ppiecuch/bgfx;ddf8196/bgfx-mcbe,9311,9659,5,0.5,0.7883355177
blackmagic-debug/blackmagic,3675,770,6,flirc/blackmagic;lujji/blackmagic;UweBonnes/blackmagic;flipperdevices/blackmagic;sidprice/blackmagic;markrages/blackmagic,6599,10132,6,0.6666666667,0.8456026059
blechschmidt/massdns,3491,491,2,jhaddix/massdns;pi-hole/massdns,315,319,1,0,0.756097561
blender/blender,16980,2639,5,fstandhartinger/Cursor-for-3D;The-SPA-Studios/blender;Snowdaw/blender-python-geometry-node;Arius-Cr/blender-ime-aware-in-windows;Akshay-Vs/blender,166577,210700,5,0,0
blinker-iot/blinker-esp-idf,3895,19,0,,61,61,0,,0.8571428571
blinker-iot/blinker-library,4789,239,0,,1793,1793,0,,0.9861830743
blinker-iot/blinker-nRF52,3848,4,0,,7,7,0,,1
bloomberg/blazingmq,3065,164,0,,1349,1349,0,,0.8586609989
